label,index
医疗卫生,0
建筑业,1
自然保护,2
法律,3
企业信息,4
行政,5
城乡环卫,6
民生服务,7
教育事业,8
教育人员,9
体育,10
财政预算,11
财政税收,12
宗教事务,13
科技活动项目,14
保险福利,15
城市供给,16
矿产资源及开发,17
财政收支,18
综合,19
人才引进,20
商品质量及交易监管,21
农村发展,22
社会救助及保障,23
开发区,24
就业失业,25
娱乐,26
出版物及相关单位,27
文化,28
旅游,29
道路交通及管理,30
工业,31
司法,32
广电传媒,33
居民住房,34
水利工程,35
污染治理,36
公共安全,37
行政区划,38
专利技术,39
农业生产,40
自然资源,41
科研机构企业及技术人员,42
能源,43
法人单位,44
房地产,45
城市建设,46
计划生育,47
邮电通信,48
非公经济,49
金融,50
外籍侨务,51
农业资料,52
社会组织,53
批发零售住宿餐饮业,54
进出口及出入境事务,55
商品及交易市场信息,56
婚姻,57
人口状况,58
气象信息,59
园林绿地,60
民族事务,61
工资薪酬,62
特种作业,63
固定资产投资,64
三次产业,65
地方经济,66
外资外贸,67
国民经济,68
居民生活,69
交通线路及运量,70
价格指数,71
生产总值,72
医院及社区卫生服务机构,73
住房城乡建设部门,74
生态环境及自然资源部门,75
司法部门,76
市场监管部门,77
税务部门,78
卫生健康委员会,79
林草部门,80
城市管理行政执法及审批部门,81
财政部门,82
基层管理机构,83
药监部门,84
教育机构,85
教育及体育部门,86
民族宗教部门,87
审计部门,88
民政部门,89
水利、水务部门,90
农业农村部门,91
社会福利机构,92
人力资源社会保障部门,93
文体活动机构,94
文化广播电视和旅游部门,95
社会援助救助机构,96
应急部门,97
医保部门,98
经济、工业信息化部门,99
人防部门,100
科技部门,101
交通运输部门,102
消防机构,103
监察部门,104
商务部门,105
粮食和储备部门,106
统计部门,107
公安部门,108
发展改革委员会,109
机关事务管理部门,110
国资部门,111
退役军人部门,112
气象部门,113
广西,114
江苏,115
四川,116
山东,117
贵州,118
上海,119
广东,120
湖北,121
湖南,122
天津,123
河北,124
海南,125
云南,126
澳门,127
浙江,128
福建,129
香港,130
北京,131
辽宁,132
河南,133
黑龙江,134
安徽,135
陕西,136
吉林,137
新疆,138
宁夏,139
江西,140
内蒙古,141
山西,142
甘肃,143
重庆,144
青海,145
西藏,146
