,index,filename,topic,department,province
8,11,(10)医师执业注册信息_0.csv,医疗卫生,医院及社区卫生服务机构,广西
9,12,(22)建设工程规划许可证核发_0.csv,建筑业,住房城乡建设部门,广西
10,13,(26)建设项目环境影响评价文件审批_0.csv,自然保护,生态环境及自然资源部门,广西
11,14,(3)人民调解委员会信息_0.csv,法律,司法部门,广西
20,24,(7)公司注销登记_0.csv,企业信息,市场监管部门,广西
21,25,(8)公司设立登记_0.csv,企业信息,市场监管部门,广西
22,26,(企业)行政处罚（2018年一季度） .xls,企业信息,税务部门,江苏
23,27,(企业)行政处罚（2018年二季度） .xls,企业信息,税务部门,江苏
26,30,(市场主体和随机抽查事项清单)2019年双随机.xlsx,行政,市场监管部门,四川
27,31,(护士执业注册及延续注册)护士执业注册_0.xls,医疗卫生,卫生健康委员会,山东
30,34,-2-市林业局2017年权力清单（2017年11月公开）.xls,行政,林草部门,贵州
31,35,00、高新区环卫公厕管理台账-基础信息.xlsx,城乡环卫,城市管理行政执法及审批部门,四川
34,38,02莘县财政局主要职责_0.xls,行政,财政部门,山东
35,39,03 黄浦区居委会基本情况.xlsx,民生服务,基层管理机构,上海
36,40,0429修改-全市医疗机构基本信息和经纬度信息2018年20190329.xlsx,医疗卫生,医院及社区卫生服务机构,四川
39,43,06 黄浦区街道社区卫生服务中心一览表.xlsx,医疗卫生,医院及社区卫生服务机构,上海
110,128,17双公示建筑工程施工许可证核发_1581102372507.xls,建筑业,住房城乡建设部门,广东
112,130,17度假区公立医院名录_0.xls,医疗卫生,医院及社区卫生服务机构,山东
148,169,1医保局定点药店2019.07.xls,医疗卫生,药监部门,四川
150,171,2-1.1各类学校经费标准统计表.xls,教育事业,教育机构,四川
151,172,2-5.随迁子女（成都市户籍外学生数-万人）.xlsx,教育人员,教育机构,四川
215,248,2014年教体局户外健身器材数量_0.xls,体育,教育及体育部门,山东
216,249,2014年武汉市体育局收支预算总表.csv,财政预算,教育及体育部门,湖北
217,250,2014年武汉市体育局财政拨款（补助）支出预算表.csv,财政预算,教育及体育部门,湖北
218,251,2014年武汉市园林局收支预算总表.csv,财政预算,林草部门,湖北
219,252,2014年武汉市园林局财政拨款（补助）支出预算表.csv,财政预算,林草部门,湖北
220,253,2014年武汉市教育局收支预算总表.csv,财政预算,教育及体育部门,湖北
221,254,2014年武汉市教育局财政拨款支出预算表.csv,财政预算,教育及体育部门,湖北
224,261,2014年秋季武汉市各级各类学校收费政策.csv,教育事业,教育机构,湖北
226,263,2015-2016年潍坊市中小学心理健康教育特色学校名单_0.csv,教育事业,教育机构,山东
231,271,2015-2017潍坊市校园足球特色校名单_0.csv,体育,教育机构,山东
233,275,20150309信息资源目录数据格式（经营许可证） (1).csv,行政,市场监管部门,上海
290,340,2015年度纳税信用A级纳税人名单（共管）.csv,财政税收,税务部门,湖北
291,341,2015年成都市宗教活动场所信息.xls,宗教事务,民族宗教部门,四川
292,342,2015年教体局户外健身器材数量_0.xls,体育,教育及体育部门,山东
302,358,2015年黄陂区新农合定点医疗机构住院医疗费补偿一览表.csv,医疗卫生,医院及社区卫生服务机构,湖北
311,367,2016-2017年潍坊市国防教育特色学校名单_0.csv,教育事业,教育机构,山东
314,371,2016_2017第一届山东省教育科学研究优秀成果获奖信息_0.csv,科技活动项目,教育及体育部门,山东
327,388,2016年1-3月藏龙岛办事处农村新型合作医疗补助资金拨付及发放表.csv,保险福利,基层管理机构,湖北
328,389,2016年1-3月金水办事处农村新型合作医疗补助资金拨付及发放表 (1).csv,保险福利,基层管理机构,湖北
329,390,2016年1-3月金水办事处农村新型合作医疗补助资金拨付及发放表.csv,保险福利,基层管理机构,湖北
353,416,2016年6月6日7日8日12日青山区疾控中心生活饮用水每日监测结果.csv,城市供给,卫生健康委员会,湖北
357,420,2016年7月武汉市采矿权审批情况.csv,矿产资源及开发,生态环境及自然资源部门,湖北
371,435,2016年公告：山东省审计厅关于12个国外贷援款项目审计结果的公告附件1.xls,财政收支,审计部门,山东
387,453,2016年底-嘉定区 (1).xlsx,综合,民政部门,上海
388,455,2016年底-崇明区 (1).xls,综合,住房城乡建设部门,上海
389,456,2016年底-徐汇区 (1).xlsx,综合,教育机构,上海
390,458,2016年底-杨浦区.xlsx,综合,教育机构,上海
391,459,2016年底-松江区.xls,综合,教育机构,上海
393,464,2016年底-闵行区.xlsx,综合,教育机构,上海
394,465,2016年底-青浦区 (1).xlsx,综合,教育机构,上海
395,466,2016年底-静安区.xls,综合,教育机构,上海
396,467,2016年底-黄浦区 (1).xlsx,综合,民政部门,上海
399,470,2016年度公示信息抽查情况_0.csv,行政,市场监管部门,山东
403,476,2016年度武汉市高校毕业生创业项目资助拟资助项目名单公示.csv,人才引进,教育机构,湖北
404,477,2016年度湖南省政府投资项目代建单位监管评价结果公示.xls,财政收支,住房城乡建设部门,湖南
425,502,2016年莘县水务局行政许可审批名称及文号_0.csv,行政,水利、水务部门,山东
428,505,2016年蓬莱市教育救助金救助学生名单_0.csv,教育人员,教育机构,山东
441,519,2017-2018学年初天津市教育事业统计信息快报.xls,教育事业,教育机构,天津
471,550,2017年专业技术人员继续教育学员花名册_0.xls,教育人员,教育机构,山东
481,562,2017年保健食品市抽汇总表_0.xls,商品质量及交易监管,药监部门,山东
487,568,2017年公告：山东省审计厅关于7个国外贷援款项目审计结果的公告附件1.xls,财政收支,审计部门,山东
491,573,2017年初中学校课程优质课信息_0.xls,教育事业,教育机构,河北
498,580,2017年城乡义务教育校舍维修改造省级补助资金项目安排情况表.csv,教育事业,教育机构,湖北
500,582,2017年市北区三好学生、优秀学生干部名单_0.csv,教育人员,教育机构,山东
501,583,2017年市北区优秀班级名单_0.csv,教育事业,教育机构,山东
502,585,2017年市北区特色学校名单_0.csv,教育事业,教育机构,山东
504,589,2017年市对县市教育综合督导指标成绩_0.csv,教育事业,教育机构,山东
507,592,2017年常州市劳动人事争议仲裁委员会开庭公告表（2018年1月12日.xlsx,法律,司法部门,江苏
524,610,2017年度农村合作社未年报信息查询_0.csv,农村发展,市场监管部门,山东
530,617,2017年度潍坊市小学基本情况_0.csv,教育事业,教育机构,山东
531,618,2017年度潍坊市市级文明单位转为市级文明校园的名单_0.csv,教育事业,教育机构,山东
532,619,2017年度潍坊市幼儿园基本情况_0.csv,教育事业,教育机构,山东
533,620,2017年度潍坊市新增市级文明校园名单_0.csv,教育事业,教育机构,山东
534,621,2017年度潍坊市普通初中基本情况_0.csv,教育事业,教育机构,山东
535,622,2017年度潍坊市普通高中基本情况_0.csv,教育事业,教育机构,山东
536,623,2017年度潍坊市特殊教育学校基本情况_0.csv,教育事业,教育机构,山东
537,625,2017年度职工和居民大病保险特殊药品责任医师名单_0.xls,医疗卫生,医院及社区卫生服务机构,山东
539,627,2017年度菏泽市院前急救工作先进急救站名单信息_0.xls,医疗卫生,医院及社区卫生服务机构,山东
543,633,2017年教体局户外健身器材数量_0.xls,体育,教育及体育部门,山东
549,641,2017年潍坊市中等职业教育学校基本情况_0.csv,教育事业,教育机构,山东
558,651,2017年第一实验学校党报党刊征订数量_0.xls,教育事业,教育机构,山东
559,652,2017年第二实验学校党报党刊征订数量_0.xls,教育事业,教育机构,山东
560,653,2017年胶州市教学能手名单信息_0.csv,教育人员,教育机构,山东
563,656,2017年蓬莱市教育救助金救助学生名单_0.csv,教育人员,教育机构,山东
570,663,2017年驻潍普通高校及专修学院基本信息_0.csv,教育事业,教育机构,山东
571,664,2017年高中段各级三好学生名单_0.xls,教育人员,教育机构,山东
572,665,2017年高中段各级优秀学生干部名单_0.xls,教育人员,教育机构,山东
596,694,2018小学在籍学生统计信息_0.csv,教育人员,教育机构,河北
638,743,2018年专业技术人员继续教育学员花名册_0.xls,教育人员,教育机构,山东
639,744,2018年专业技术人员继续教育学员花名册_1.xls,教育人员,教育机构,山东
641,746,2018年东港区教育局党委优秀党务工作者名单_0.csv,教育人员,教育及体育部门,山东
642,747,2018年东港区教育局党委优秀共产党员名单_0.csv,教育人员,教育及体育部门,山东
647,758,2018年五莲县基本公共卫生服务项目信息_0.csv,医疗卫生,医院及社区卫生服务机构,山东
654,767,2018年全市幼儿园教师教育专业能力竞赛弹唱与舞蹈创编项目复赛信息_0.csv,教育人员,教育机构,山东
655,768,2018年全市幼儿园教师教育专业能力竞赛活动设计试讲与案例分析项目复赛信息 _0.xls,教育人员,教育机构,山东
656,769,2018年全市幼儿园教师教育专业能力竞赛活动设计试讲与案例分析项目复赛信息+_0.csv,教育人员,教育机构,山东
657,770,2018年全市幼儿园教师教育专业能力竞赛玩教具制作项目复赛信息_0.csv,教育人员,教育机构,山东
677,795,2018年天津市水务局公共服务事项目录.xlsx,行政,水利、水务部门,天津
682,800,2018年山东省基层医疗卫生机构中医药特色诊疗区（中医馆）服务能力建设项目单位名单信息_0.csv,医疗卫生,医院及社区卫生服务机构,山东
683,801,2018年山东省职业教育教学成果奖（淄博）信息_0.csv,教育人员,教育机构,山东
699,822,2018年度A级纳税人公告.xlsx,财政税收,税务部门,四川
724,849,2018年成都市宗教活动场所信息.xls,宗教事务,民族宗教部门,四川
731,856,2018年招远市初中招生名单_0.xls,教育事业,教育机构,山东
732,857,2018年招远市小学招生名单_0.xls,教育事业,教育机构,山东
738,863,2018年教体局户外健身器材数量_0.xls,体育,教育及体育部门,山东
739,864,2018年教师资格认定人员花名册（1064）_0.xls,教育人员,教育机构,山东
778,910,2018年畜肉类检测信息_0.xls,医疗卫生,农业农村部门,山东
779,911,2018年疾控中心信息20190328(智慧).xlsx,医疗卫生,卫生健康委员会,四川
784,918,2018年禽蛋类检测信息_0.xls,医疗卫生,农业农村部门,山东
793,931,2018年胶州市教师资格注册名单（公示）信息_0.csv,教育人员,教育机构,山东
794,933,2018年莱山区最美教师名单_0.xls,教育人员,教育机构,山东
795,934,2018年莱州市林业局大事记_0.xls,行政,林草部门,山东
815,957,2018年蓬莱市事业单位公开招聘综合类拟聘用人员公示_0.xls,行政,教育机构,山东
