filename,topic,department,province,y1,y2,y3
济南市水务局热线执法举报信息_0.xls,行政,水利、水务部门,山东,5,90,117
设立互联网上网服务营业场所网吧审批许可信息版权局_1596187121067.xls,娱乐,文化广播电视和旅游部门,广东,26,95,120
设立游艺娱乐场所娱乐经营许可证信息_12.xls,娱乐,文化广播电视和旅游部门,广东,26,95,120
5-18__涉企信息_企业不良行为信息_105.xls,企业信息,住房城乡建设部门,广东,4,74,120
威海临港区经济发展局工作计划信息_0.xls,行政,经济、工业信息化部门,山东,5,99,117
青岛市交通运输委员会党建工作简报++_1.csv,行政,交通运输部门,山东,5,102,117
20-23_23.xls,教育人员,教育机构,湖南,9,85,122
推送市交易中心信息－人员锁定_363.xls,行政,水利、水务部门,广东,5,90,120
推送市交易中心信息－信用总分_123.xls,企业信息,水利、水务部门,广东,4,90,120
房屋市政工程竣工验收备案（燃气类、供热类）信息_91.xls,城市供给,城市管理行政执法及审批部门,广东,16,81,120
5-18__涉企信息_企业不良行为信息_268.xls,企业信息,住房城乡建设部门,广东,4,74,120
港航局_船舶注销登记_0.xls,道路交通及管理,交通运输部门,山东,30,102,117
推送市交易中心信息－人员锁定_386.xls,行政,水利、水务部门,广东,5,90,120
青岛市教育局直属学校责任督学名单_0.csv,教育事业,教育及体育部门,山东,8,86,117
推送市交易中心信息－人员锁定_212.xls,行政,水利、水务部门,广东,5,90,120
龙湾区图书馆图书信息_76.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
2001_46.xls,医疗卫生,卫生健康委员会,青海,0,79,145
（双公示）建设用地(含临时用地)规划许可证核发_6.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
诊疗共享平台-疾病人次统计信息_108.csv,医疗卫生,医院及社区卫生服务机构,浙江,0,73,128
贵阳市城镇登记失业率_2018-07-27_10_15_16_7.csv,就业失业,人力资源社会保障部门,贵州,25,93,118
证件变更信息_215.xls,行政,市场监管部门,广东,5,77,120
印刷经营许可证信息_58.xls,出版物及相关单位,文化广播电视和旅游部门,广东,27,95,120
建设工程规划条件核实合格证_189.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
危险化学品经营许可证审批-行政许可变更信息_98.xls,公共安全,应急部门,广东,37,97,120
潍坊市司法行政机关信息_0.xls,司法,司法部门,山东,32,76,117
道路运输经营许可证版式文件_45.csv,道路交通及管理,交通运输部门,浙江,30,102,128
燃气供应设施许可标识信息_36.xls,城市供给,城市管理行政执法及审批部门,广东,16,81,120
云岩区教育局部门决算及三公经费决算_2020-11-20_11_44_21_6.xls,财政收支,教育及体育部门,贵州,18,86,118
会计师事务所分所执业证书电子证照版式文件.csv,金融,财政部门,浙江,50,82,128
龙湾区图书馆图书信息_110.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
证件变更信息_163.xls,行政,市场监管部门,广东,5,77,120
渔业捕捞许可证版式文件_7.csv,农业生产,水利、水务部门,浙江,40,90,128
5-15__涉企信息_企业良好行为信息_114.xls,企业信息,住房城乡建设部门,广东,4,74,120
5-13_涉企信息_工程竣工验收备案信息_52.xls,建筑业,住房城乡建设部门,广东,1,74,120
修文县工商局部门预算及“三公”经费预算公开表_2019-10-21_22_30_18_6.xls,财政预算,市场监管部门,贵州,11,77,118
道路运输危险货物经营许可证版式文件_31.csv,道路交通及管理,交通运输部门,浙江,30,102,128
5-15__涉企信息_企业良好行为信息_387.xls,企业信息,住房城乡建设部门,广东,4,74,120
5-13_涉企信息_工程竣工验收备案信息_176.xls,建筑业,住房城乡建设部门,广东,1,74,120
微山县工商行政管理局_个人独资企业及分支机构设立登记_(开放)_0.csv,企业信息,市场监管部门,山东,4,77,117
滨州市民办教育学校（机构）信息_0.csv,教育事业,教育机构,山东,8,85,117
初中教学工作先进单位_0.xls,教育事业,教育机构,山东,8,85,117
道路运输从业人员从业资格证_19.csv,道路交通及管理,交通运输部门,浙江,30,102,128
5-18__涉企信息_企业不良行为信息_110.xls,企业信息,住房城乡建设部门,广东,4,74,120
印刷经营许可证信息_14.xls,出版物及相关单位,文化广播电视和旅游部门,广东,27,95,120
建设项目环境影响评价审批（报告表）_0.xls,自然保护,生态环境及自然资源部门,山东,2,75,117
贵阳市信用助学贷款办理信息_2018-08-17_17_15_17_2.csv,人才引进,教育机构,贵州,20,85,118
贵阳市基层法律服务所名录_2021-04-08_19_41_09_10.xlsx,法律,社会援助救助机构,贵州,3,96,118
工商行政许可公示信息_33.xls,行政,市场监管部门,广东,5,77,120
乳山市海洋发展局乳山市水产健康养殖示范场信息_0.csv,农业生产,生态环境及自然资源部门,山东,40,75,117
动物防疫条件合格证核发信息_35.xls,医疗卫生,农业农村部门,广东,0,91,120
工程施工许可信息表_9.xls,建筑业,住房城乡建设部门,广东,1,74,120
湛江市教育局学校基本信息_1591954141083.xlsx,教育事业,教育及体育部门,广东,8,86,120
市城管局2019年度财政拨款支出预算表（功能科目）.csv,财政预算,城市管理行政执法及审批部门,江苏,11,81,115
乳山市统计局对标学习信息_0.xls,行政,统计部门,山东,5,107,117
5-15__涉企信息_企业良好行为信息_498.xls,企业信息,住房城乡建设部门,广东,4,74,120
动物诊疗许可证核发信息_160.xls,医疗卫生,农业农村部门,广东,0,91,120
23-3_251.xls,出版物及相关单位,文体活动机构,海南,27,94,125
建设项目环境影响评价文件审批_156888142160052.xls,自然保护,生态环境及自然资源部门,广东,2,75,120
任城区城市管理局_临时占用城市道路_(开放)_0.xls,城市建设,住房城乡建设部门,山东,46,74,117
预审批培训学校名单信息_0.xls,教育事业,教育机构,山东,8,85,117
汶上县卫生和计划生育局_护士延续注册_0.xls,医疗卫生,卫生健康委员会,山东,0,79,117
（双公示）建设工程规划类许可证核发（建筑类）信息_5.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
印刷经营许可证信息_2.xls,出版物及相关单位,文化广播电视和旅游部门,广东,27,95,120
渔业船网工具指标批准书信息（已电子签名）_2.csv,农业资料,水利、水务部门,浙江,52,90,128
市人力资源社会保障局行政许可事项实施清单_12521749566169704799.csv,行政,人力资源社会保障部门,江苏,5,93,115
推送市交易中心信息－信用总分_355.xls,企业信息,水利、水务部门,广东,4,90,120
渔业船舶登记_147.xls,农业资料,水利、水务部门,广东,52,90,120
5-13_涉企信息_工程竣工验收备案信息_44.xls,建筑业,住房城乡建设部门,广东,1,74,120
市科技局微博政务信息发布记录_0.csv,行政,科技部门,宁夏,5,101,139
梁山县环境保护局_环境影响报告表审批_0.xls,自然保护,生态环境及自然资源部门,山东,2,75,117
工商行政许可公示信息_58.xls,行政,市场监管部门,广东,5,77,120
房屋市政工程竣工验收备案（燃气类、供热类）信息_61.xls,城市供给,城市管理行政执法及审批部门,广东,16,81,120
曲阜市林业局_林木采伐许可证核发_0.xls,自然保护,林草部门,山东,2,80,117
乌当区人社局相关统计数据_2020-12-22_16_24_36_7.xlsx,行政,人力资源社会保障部门,贵州,5,93,118
乌当区区水务局部门预算及“三公”经费预算_2020-10-27_16_28_03_4.xls,财政预算,水利、水务部门,贵州,11,90,118
23-13_100.xls,医疗卫生,医院及社区卫生服务机构,辽宁,0,73,132
推送市交易中心信息－专业分_426.xls,企业信息,水利、水务部门,广东,4,90,120
推送市交易中心信息－人员锁定_109.xls,行政,水利、水务部门,广东,5,90,120
道路运输证版式文件_28.csv,道路交通及管理,交通运输部门,浙江,30,102,128
19-69_144.xls,医疗卫生,卫生健康委员会,山西,0,79,142
建设工程规划条件核实合格证_53.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
22-6_253.xls,医疗卫生,医院及社区卫生服务机构,海南,0,73,125
道路运输证_32.csv,道路交通及管理,交通运输部门,浙江,30,102,128
档案宣传教育信息_0.csv,教育事业,教育机构,山东,8,85,117
5-15__涉企信息_企业良好行为信息_366.xls,企业信息,住房城乡建设部门,广东,4,74,120
危险化学品经营许可证审批-行政许可变更信息_115.xls,公共安全,应急部门,广东,37,97,120
推送市交易中心信息－限制投标企业_390.xls,企业信息,水利、水务部门,广东,4,90,120
养老服务机构名单_0.xls,社会救助及保障,社会福利机构,山东,23,92,117
急救机构.csv,医疗卫生,医院及社区卫生服务机构,北京,0,73,131
2216_43.xls,社会救助及保障,民政部门,青海,23,89,145
房屋市政工程竣工验收备案（燃气类、供热类）信息_128.xls,城市供给,城市管理行政执法及审批部门,广东,16,81,120
交通运输局行政许可事项_0.csv,行政,交通运输部门,山东,5,102,117
ch23-25_113.xls,保险福利,人力资源社会保障部门,北京,15,93,131
危险化学品安全生产许可证_14.xls,公共安全,应急部门,广东,37,97,120
建设用地规划许可证信息_20.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
ch03-12_113.xls,就业失业,市场监管部门,北京,25,77,131
高新区民办培训机构第六批白名单2019.10.18(1).xlsx,教育事业,教育机构,四川,8,85,116
赛事成绩信息.csv,体育,文体活动机构,浙江,10,94,128
（双公示）建设项目用地预审与选址意见书_81.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
贵阳市养老服务机构_2021-04-12_14_51_42_15.xls,社会救助及保障,社会福利机构,贵州,23,92,118
泰顺县图书馆图书信息_42.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
非公募基金会成立、变更、注销登记信息_19.xls,社会组织,民政部门,广东,53,89,120
道路运输证版式文件_45.csv,道路交通及管理,交通运输部门,浙江,30,102,128
动物诊疗许可证核发_1568882225727789.xls,医疗卫生,医院及社区卫生服务机构,广东,0,73,120
渔业船舶登记_51.xls,农业资料,农业农村部门,广东,52,91,120
曹县基层法律工作者信息_0.xls,法律,社会援助救助机构,山东,3,96,117
设立歌舞娱乐场所娱乐经营许可证信息_25.xls,娱乐,文化广播电视和旅游部门,广东,26,95,120
危险化学品经营许可证审批-行政许可变更信息_139.xls,公共安全,应急部门,广东,37,97,120
ch03-09_115.xls,人口状况,公安部门,北京,58,108,131
设立游艺娱乐场所娱乐经营许可证信息_10.xls,娱乐,文化广播电视和旅游部门,广东,26,95,120
06-11_57.xls,进出口及出入境事务,商务部门,贵州,55,105,118
行政处罚决定（新双公示）_27.xls,行政,生态环境及自然资源部门,广东,5,75,120
工业产品生产许可证核发质监局_1595233778240.xls,工业,市场监管部门,广东,31,77,120
辐射安全许可证正本_1.csv,公共安全,生态环境及自然资源部门,浙江,37,75,128
建设工程规划条件核实合格证_107.xls,建筑业,生态环境及自然资源部门,广东,1,75,120
诊疗共享平台-疾病人次统计信息_30.csv,医疗卫生,医院及社区卫生服务机构,浙江,0,73,128
洞头区图书馆图书信息_39.csv,出版物及相关单位,文体活动机构,浙江,27,94,128
CH03-16_111.xls,就业失业,市场监管部门,北京,25,77,131
建设用地规划许可证20180920.xls,建筑业,住房城乡建设部门,江苏,1,74,115
8-36_260.xlsx,气象信息,住房城乡建设部门,江西,59,74,140
责令改正违法行为决定_56.xls,行政,生态环境及自然资源部门,广东,5,75,120
建筑行业惩罚记录企业_1590662272527.xls,建筑业,住房城乡建设部门,广东,1,74,120
15_210.2014年鉴-贸易（1-20）_210.xls,商品及交易市场信息,文化广播电视和旅游部门,海南,56,95,125
水域、滩涂养殖证_0.csv,农业生产,水利、水务部门,山东,40,90,117
五莲县食用植物油监督抽检合格产品信息（2018年第一期）_0.csv,商品质量及交易监管,药监部门,山东,21,84,117
开阳县住房保障中心名录_2018-04-07_19_31_42_1.xls,社会救助及保障,住房城乡建设部门,贵州,23,74,118
B17_22_75.xls,科技活动项目,统计部门,吉林,14,107,137
兖州区卫生和计划生育局_公共场所卫生许可_0.csv,医疗卫生,卫生健康委员会,山东,0,79,117
丽水市综合行政执法局内设机构信息.csv,行政,城市管理行政执法及审批部门,浙江,5,81,128
推送市交易中心信息－人员锁定_167.xls,行政,水利、水务部门,广东,5,90,120
鱼台县公安局_临时占用道路从事大型活动审批_(开放)_0.xls,道路交通及管理,公安部门,山东,30,108,117
长岛县公安局工作人员信息_0.xls,行政,公安部门,山东,5,108,117
特种设备作业人员考核_53.xls,特种作业,市场监管部门,广东,63,77,120
推送市交易中心信息－信用总分_192.xls,企业信息,水利、水务部门,广东,4,90,120
青岛市社区定点医疗机构、定点护理机构协议信息管理_0.xls,医疗卫生,医院及社区卫生服务机构,山东,0,73,117
义务教育阶段学校设立、变更、终止审批（民办学校）_50.xls,教育事业,教育机构,广东,8,85,120
C01-11_114.xls,非公经济,税务部门,北京,49,78,131
工程竣工验收备案信息_45.xls,建筑业,住房城乡建设部门,广东,1,74,120
防雷装置设计审核（新）_7.xls,公共安全,气象部门,广东,37,113,120
21-61_21.xls,教育事业,教育机构,湖南,8,85,122
